generic_name,status,availability,shortage_reason,dosage_form,company_name,initial_posting_date,update_type,therapeutic_category,year,month,risk,generic_name_encoded,shortage_reason_encoded,dosage_form_encoded,company_name_encoded,update_type_encoded,therapeutic_category_encoded,production_drop_3m,import_dependency,demand_surge,days_since_last_shortage,manufacturer_shortage_history,price_increase_pct
Flurazepam Hydrochloride Capsule,Current,Available,Unknown,Capsule,Chartwell Molecular Holdings LLC,2022-08-03,Reverified,Neurology,2022,8,0,91,8,0,23,1,10,31.872365791369226,59.91325702967997,0,1252.3436423064832,9.359791071780087,20.549298895373344
Heparin Sodium Injection,Current,Available,Unknown,Injection,"Fresenius Kabi USA, LLC",2017-11-14,Reverified,Hematology,2017,11,0,103,8,8,42,1,8,0.0,30.61033497119668,0,1141.7196020119434,2.7513693584812344,45.29139731508491
Morphine Sulfate Injection,Current,Unavailable,Other,Injection,"Fresenius Kabi USA, LLC",2017-10-31,Revised,Analgesia/Addiction,2017,10,0,151,3,8,42,2,0,31.481679387895902,4.72607626915795,0,237.18518516362008,5.81044303090461,20.59190870696157
Epinephrine Injection,To Be Discontinued,Unknown,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2025-11-07,New,Cardiovascular,2025,11,1,79,8,8,54,0,4,17.29835439167367,56.246457189549574,0,30.0,4.147974510098678,53.11997979996452
"Fluvastatin Sodium Tablet, Extended Release",To Be Discontinued,Unknown,Unknown,Tablet,Sandoz Inc.,2026-01-27,New,Cardiovascular,2026,1,1,93,8,24,103,0,4,11.461559993880826,75.22048799358507,0,465.27987647395514,4.625990449749744,0.5490095386994085
Lisdexamfetamine Dimesylate Capsule,Current,Limited Availability,Other,Capsule,"Teva Pharmaceuticals USA, Inc.",2023-07-14,Revised,Psychiatry,2023,7,0,132,3,0,117,2,15,37.23352577681736,41.97613267819078,0,631.7785483597172,5.704552010021193,19.51470869493959
Metoprolol Tartrate Tablet,To Be Discontinued,Unknown,Unknown,Tablet,Aurobindo Pharma USA,2025-06-03,New,Cardiovascular,2025,6,1,144,8,24,16,0,4,45.619990449919015,65.96324003846465,0,198.83057431600764,1.9119395151971448,8.557168367051677
Rocuronium Bromide Injection,Current,Available,Unknown,Injection,Sandoz Inc.,2023-02-15,Reverified,Anesthesia,2023,2,0,205,8,8,103,1,1,43.625602382323976,80.47012167575019,0,216.15852812599695,7.916207278795499,12.577570918705621
Clonazepam Tablet,Current,Available,Unknown,Tablet,Aurobindo Pharma USA,2023-03-10,Reverified,Neurology,2023,3,0,51,8,24,16,1,10,8.215649535547229,73.92811797884904,0,1053.8942392593863,0.0,12.903177430859664
Dextrose Monohydrate 5% Injection,Current,Unavailable,Demand increase for the drug,Injection,Baxter Healthcare,2022-02-14,Revised,Endocrinology/Metabolism,2022,2,0,64,1,8,20,2,6,18.815752482975707,81.07921964617064,1,409.8569500991436,0.8843310818923467,9.330399800016846
Lisdexamfetamine Dimesylate Capsule,Current,Limited Availability,Shortage of an active ingredient,Capsule,SpecGx LLC,2023-07-14,Reverified,Psychiatry,2023,7,0,132,6,0,109,1,15,31.62526862807128,61.32680480358163,0,731.7875649935086,7.877288123011248,45.95257707478432
Methotrexate Sodium Injection,Current,Available,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2023-03-13,Reverified,Rheumatology,2023,3,0,140,8,8,54,1,19,44.510902542447184,46.659540055835045,0,174.3930057509442,5.770014283313413,41.33840493263771
Metoprolol Tartrate Tablet,To Be Discontinued,Unknown,Unknown,Tablet,Aurobindo Pharma USA,2025-06-03,New,Cardiovascular,2025,6,1,144,8,24,16,0,4,15.416515243094201,9.756752138262293,0,480.07083944632245,11.6211732930443,26.039667671961833
"Topiramate Capsule, Extended Release",To Be Discontinued,Unknown,Unknown,"Capsule, Extended Release","Upsher-Smith Laboratories, LLC",2025-04-24,New,Neurology,2025,4,1,226,8,1,122,0,10,21.286820466723658,39.58662526114113,0,382.28157622792054,4.205051330959391,12.884721576659434
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Current,Available,Unknown,Injection,"Fresenius Kabi USA, LLC",2016-10-14,Reverified,Anesthesia,2016,10,0,78,8,8,42,1,1,2.873300519879436,26.44857490304378,0,263.61936641884915,9.101287889377279,9.75150435833468
Hydromorphone Hydrochloride Injection,Current,Unavailable,Demand increase for the drug,Injection,"Fresenius Kabi USA, LLC",2017-10-31,Reverified,Analgesia/Addiction,2017,10,0,108,1,8,42,1,0,1.075867518386584,92.76073978495191,0,904.3551440325925,0.0,31.127131122166528
Meperidine Hydrochloride Injection,Current,Unavailable,Other,Injection,"Hospira, Inc., a Pfizer Company",2025-05-30,Revised,Analgesia/Addiction,2025,5,0,137,3,8,54,2,0,41.25051644788396,41.1305121264886,1,30.0,0.0,24.502264268542625
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Limited Availability,Other,Tablet,"Teva Pharmaceuticals USA, Inc.",2022-10-12,Revised,Psychiatry,2022,10,0,12,3,24,117,2,15,52.12480057141646,47.71050574925869,0,605.0198889289513,6.686576612250922,17.82761069600622
Quinapril Hydrochloride Tablet,To Be Discontinued,Unknown,Unknown,Tablet,Pfizer Inc.,2025-10-01,New,Cardiovascular,2025,10,1,196,8,24,92,0,4,23.55979756839332,57.13267827289029,1,375.7074205783254,0.0,28.117895109506463
Rifampin Capsule,Current,Limited Availability,Shortage of an active ingredient,Capsule,"Lupin Pharmaceuticals, Inc.",2021-12-22,Reverified,Anti-Infective,2021,12,0,201,6,0,68,1,2,45.07065795784048,45.95925382019398,0,645.188568712556,3.407897178971532,33.366058113657374
Dextrose Monohydrate 10% Injection,Current,Available,Unknown,Injection,Otsuka ICU Medical LLC,2022-03-01,Reverified,Endocrinology/Metabolism,2022,3,0,63,8,8,89,1,6,32.23272050095268,82.29112288947657,0,380.44817872357487,7.501627250941476,17.689399549595418
Docetaxel Injection,To Be Discontinued,Unknown,Unknown,Injection,Ingenus Pharmaceuticals LLC,2026-02-20,New,Oncology,2026,2,1,70,8,8,58,0,11,12.097604907897514,31.301714041842057,0,803.5175716716287,5.503513793466005,8.190111309678816
Pemetrexed Disodium Injection,To Be Discontinued,Unknown,Unknown,Injection,Sandoz Inc.,2025-10-10,New,Oncology,2025,10,1,172,8,8,103,0,11,32.227912110168276,49.28136401521934,0,171.10409061174687,4.033285660958738,0.18326499759481862
Fentanyl Citrate Injection,Current,Unavailable,Other,Injection,"Hikma Pharmaceuticals USA, Inc.",2023-12-20,Revised,Analgesia/Addiction,2023,12,0,88,3,8,53,2,0,55.760731329319384,28.665647114642937,0,905.1436170863592,2.6526775935120543,23.75947511512195
Furosemide Injection,Current,Unavailable,Requirements related to complying with good manufacturing practices,Injection,Accord Healthcare Inc.,2020-04-07,Revised,Cardiovascular,2020,4,0,96,5,8,1,2,4,24.28347921780097,15.959504753144472,1,489.91905686395245,4.606677623775894,52.50868959699492
Adalimumab-adaz Injection,To Be Discontinued,Unknown,Unknown,Injection,Sandoz Inc.,2025-04-14,New,Rheumatology,2025,4,1,1,8,8,103,0,19,56.29287311628012,31.54108000008372,0,35.02411484470673,5.731745117126589,3.3400509507313423
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Unavailable,Other,Injection,"Hospira, Inc., a Pfizer Company",2018-02-20,Revised,Anesthesia,2018,2,0,32,3,8,54,2,1,0.0,44.185190464934934,1,738.0754095659881,2.017316989041451,36.49203621551086
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Available,Unknown,Injection,"Fresenius Kabi USA, LLC",2018-02-20,Reverified,Anesthesia,2018,2,0,32,8,8,42,1,1,41.43805008750448,35.55535106062028,1,430.4025897688221,5.1152080840361425,9.866657609798162
Etomidate Injection,Current,Available,Unknown,Injection,"Hikma Pharmaceuticals USA, Inc.",2022-10-05,Revised,Anesthesia,2022,10,0,85,8,8,53,2,1,26.740941364763426,29.766738442775168,0,30.0,7.235292232596132,12.889526961303705
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Limited Availability,Shortage of an active ingredient,Tablet,"Elite Laboratories, Inc.",2022-10-12,Reverified,Psychiatry,2022,10,0,12,6,24,34,1,15,19.01985299068265,14.061015799219653,0,616.3638293156046,3.332565600100425,33.72385220176747
Everolimus Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Endo Pharmaceuticals, Inc.",2026-01-06,New,Transplant,2026,1,1,86,8,24,35,0,21,26.835215530710045,43.17167740216871,0,852.3085003471949,4.204368550421955,16.171127650067056
Adalimumab-adaz Injection,To Be Discontinued,Unknown,Unknown,Injection,Sandoz Inc.,2026-01-13,New,Rheumatology,2026,1,1,1,8,8,103,0,19,0.0,11.896151771317953,0,948.7475091260458,5.451336502008333,23.723896947357193
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Available,Unknown,Tablet,"Teva Pharmaceuticals USA, Inc.",2022-10-12,Revised,Psychiatry,2022,10,0,12,8,24,117,2,15,20.606562243249762,61.72123120117126,0,367.57684109008176,5.654002648269232,23.436421343185465
Drospirenone; Ethinyl Estradiol Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Teva Pharmaceuticals USA, Inc.",2025-05-02,New,Reproductive,2025,5,1,75,8,24,117,0,18,32.14225143023493,46.81367456455907,0,550.8613193640083,6.635360718995319,9.890785073548884
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Available,Unknown,Tablet,Oryza Pharmaceuticals Inc.,2022-10-12,Reverified,Psychiatry,2022,10,0,12,8,24,88,1,15,54.55788089483032,12.933867011771525,0,517.687719977519,0.95687513205415,33.426463338802975
Memantine Hydrochloride Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Upsher-Smith Laboratories, LLC",2025-04-28,New,Neurology,2025,4,1,136,8,24,122,0,10,14.634595634527052,38.197400304903006,0,1021.4309210499737,2.4132324928440694,19.076267191508137
Rifampin Capsule,Current,Unavailable,Discontinuation of the manufacture of the drug,Capsule,"Epic Pharma, LLC",2021-12-22,Reverified,Anti-Infective,2021,12,0,201,2,0,36,1,2,8.830127942136247,28.45255907700717,1,216.32899616933912,2.5243639238510385,0.0
Ropivacaine Hydrochloride Injection,Current,Unavailable,Demand increase for the drug,Injection,"Fresenius Kabi USA, LLC",2018-03-23,Reverified,Anesthesia,2018,3,0,206,1,8,42,1,1,14.96485912830927,52.02183922922197,1,337.36919172841044,1.2882635045119697,6.612739713010939
Dextrose Monohydrate 5% Injection,Current,Available,Unknown,Injection,Otsuka ICU Medical LLC,2022-02-14,Reverified,Endocrinology/Metabolism,2022,2,0,64,8,8,89,1,6,43.30804235404148,74.48990981250918,1,207.84789169256777,0.0,0.0
Fondaparinux Sodium Injection,To Be Discontinued,Unknown,Unknown,Injection,"Jiangsu Hengrui Pharmaceuticals Co. (US Agent eVenus Pharmaceutical Laboratories, Inc.)",2025-09-29,New,Hematology,2025,9,1,94,8,8,61,0,8,31.57502219319369,3.7462056677936175,0,30.0,0.0,20.779880482619667
Lisdexamfetamine Dimesylate Capsule,Current,Limited Availability,Shortage of an active ingredient,Capsule,"Hikma Pharmaceuticals USA, Inc.",2023-07-14,Reverified,Psychiatry,2023,7,0,132,6,0,53,1,15,14.404795924659224,47.530573741243174,0,586.7255133682287,7.586358135258941,39.56099695023255
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Available,Unknown,Tablet,Janssen Pharmaceuticals,2023-07-26,Reverified,Psychiatry,2023,7,0,142,8,24,60,1,15,35.26534866226712,41.47707849753391,0,1060.4544161221556,0.0,4.29275258330064
Midazolam Hydrochloride Injection,Current,Available,Unknown,Injection,WG Critical Care,2020-04-02,Reverified,Anesthesia,2020,4,0,146,8,8,125,1,1,26.941550986960806,59.76948168191024,0,430.53043951972865,8.699527380117726,28.783073875077427
Rocuronium Bromide Injection,Current,Unavailable,Delay in shipping of the drug,Injection,"Fresenius Kabi USA, LLC",2023-02-15,Revised,Anesthesia,2023,2,0,205,0,8,42,2,1,44.372899810657785,49.69032582122916,0,191.336182459903,6.218228465849387,26.458510760928625
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Current,Available,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2012-02-22,Reverified,Anesthesia,2012,2,0,78,8,8,54,1,1,10.958938122452953,28.456674701745982,1,565.400895781224,2.78293486058124,8.721837116187388
Lidocaine Hydrochloride Injection,Current,Available,Unknown,Injection,"Hikma Pharmaceuticals USA, Inc.",2018-06-13,Revised,Anesthesia,2018,6,0,128,8,8,53,2,1,18.446757068044636,37.9808134153344,1,706.1913625704295,5.8492663144442005,43.048012344772545
Metoprolol Tartrate Tablet,To Be Discontinued,Unknown,Unknown,Tablet,Aurobindo Pharma USA,2025-06-03,New,Cardiovascular,2025,6,1,144,8,24,16,0,4,17.157836937356848,27.487431150323243,0,445.2729018971997,5.2753997401411645,15.910093396626248
Morphine Sulfate Injection,Current,Available,Unknown,Injection,"Hikma Pharmaceuticals USA, Inc.",2017-11-03,Revised,Analgesia/Addiction,2017,11,0,151,8,8,53,2,0,0.0,68.67215704916916,0,991.237366183962,0.6946769111806788,50.1540256975483
Naltrexone Hydrochloride Tablet,Resolved,Unknown,Unknown,Tablet,"Elite Laboratories, Inc.",2024-02-29,Revised,Analgesia/Addiction,2024,2,0,154,8,24,34,2,0,30.92240554129152,45.46885627078273,0,215.67333699936734,3.9550666791111078,0.0
Heparin Sodium Injection,Current,Available,Unknown,Injection,"Fresenius Kabi USA, LLC",2017-11-14,Revised,Hematology,2017,11,0,103,8,8,42,2,8,30.221105443597786,86.82619508656617,0,399.56062722067304,1.0604836823755237,15.96296672613136
Irinotecan Hydrochloride Injection,To Be Discontinued,Unknown,Unknown,Injection,Ingenus Pharmaceuticals LLC,2026-02-24,New,Oncology,2026,2,1,118,8,8,58,0,11,25.10226913284922,43.66546209607834,0,603.5957666950367,5.962384006513277,17.746219639750148
Lisdexamfetamine Dimesylate Capsule,Current,Limited Availability,Shortage of an active ingredient,Capsule,"Elite Laboratories, Inc.",2023-07-14,Reverified,Psychiatry,2023,7,0,132,6,0,34,1,15,20.308257332497064,29.415051127969818,0,637.5373134162395,1.8543371446018364,19.390804680189785
Pindolol Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Sun Pharmaceutical Industries, Inc.",2026-01-30,New,Cardiovascular,2026,1,1,182,8,24,113,0,4,0.0,11.698283362517806,0,516.5298323043563,3.710111391409983,30.744964764324216
Rocuronium Bromide Injection,Current,Available,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2023-02-15,Reverified,Anesthesia,2023,2,0,205,8,8,54,1,1,16.58709354469282,5.330927122369211,1,52.553027174998135,3.5806032429677512,70.9719097649435
