generic_name,status,therapeutic_category,company_name,year,month,shortage_reason,production_drop_3m,import_dependency,risk_prediction,risk_label
"Lisdexamfetamine Dimesylate Tablet, Chewable",Current,Psychiatry,"Sun Pharmaceutical Industries, Inc.",2023,7,Unknown,13.754249415180546,60.60793997705887,0,Not At Risk
Clindamycin Phosphate Injection,Current,Anti-Infective,Baxter Healthcare,2023,3,Unknown,4.743377593311525,35.41929984746345,0,Not At Risk
Dextrose Monohydrate 5% Injection,Current,Endocrinology/Metabolism,Baxter Healthcare,2022,2,Unknown,31.28494665190548,56.28832755987382,0,Not At Risk
Dopamine Hydrochloride Injection,Current,Cardiovascular,"Hospira, Inc., a Pfizer Company",2017,11,Other,6.839518489575781,39.28997309315382,1,At Risk
Methylprednisolone Acetate Injection,Current,Rheumatology,Amneal Pharmaceuticals,2021,12,Other,0.0,61.253830579525065,0,Not At Risk
Nitroglycerin Injection,Resolved,Cardiovascular,Baxter Healthcare,2023,10,Unknown,54.31297537843108,58.538084648287175,0,Not At Risk
Posaconazole Injection,To Be Discontinued,Anti-Infective,Merck Sharp & Dohme Corp.,2025,12,Unknown,20.484473990269287,24.420348555018904,1,At Risk
Baclofen Tablet,To Be Discontinued,Neurology,"Upsher-Smith Laboratories, LLC",2025,4,Unknown,26.35056409375848,68.89160655585071,1,At Risk
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2018,2,Unknown,0.0,33.20880420749094,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Lannett Company, Inc.",2023,7,Unknown,14.112345509496349,62.77727156218519,0,Not At Risk
"Methylphenidate Film, Extended Release",Current,Psychiatry,"Noven Pharmaceuticals, Inc.",2025,2,Unknown,27.21845179419732,53.0803208948295,0,Not At Risk
Nebivolol Hydrochloride Tablet,To Be Discontinued,Cardiovascular,Torrent Pharmaceuticals Limited,2026,3,Unknown,1.980128451553945,85.44004088949269,1,At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Sandoz Inc.,2022,10,Shortage of an active ingredient,32.51396036691344,40.083748387819256,1,At Risk
Dextrose Monohydrate 10% Injection,Current,Endocrinology/Metabolism,B. Braun Medical Inc.,2022,3,Unknown,12.9872262016239,37.31503048539965,1,At Risk
Dextrose Monohydrate 5% Injection,Current,Endocrinology/Metabolism,Baxter Healthcare,2022,2,Unknown,19.166125004134464,44.57276867046989,0,Not At Risk
Deferiprone Tablet,To Be Discontinued,Hematology,"Chiesi USA, Inc.",2025,11,Unknown,12.96586775541206,38.33004477764594,1,At Risk
Furosemide Injection,Current,Cardiovascular,"Meitheal Pharmaceuticals, Inc.",2020,4,Unknown,62.04556369017875,62.5987218427251,0,Not At Risk
Lidocaine Hydrochloride Injection,Current,Anesthesia,"Fresenius Kabi USA, LLC",2012,2,Unknown,24.73005550524132,9.441166614395064,0,Not At Risk
Lidocaine Hydrochloride Injection,Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2012,2,Discontinuation of the manufacture of the drug,3.845781420881991,21.81898677878021,1,At Risk
Methylprednisolone Acetate Injection,Current,Rheumatology,Pfizer Inc.,2021,12,Unknown,41.45089824206378,21.50833572525775,1,At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,SpecGx LLC,2023,7,Shortage of an active ingredient,0.5831270005795552,65.90676702341867,0,Not At Risk
Methylprednisolone Acetate Injection,Current,Rheumatology,"Par Health, USA LLC",2022,6,Demand increase for the drug,29.177271900095107,82.63349419680236,0,Not At Risk
Sodium Bicarbonate Injection,Current,Endocrinology/Metabolism,"Hospira, Inc., a Pfizer Company",2017,3,Discontinuation of the manufacture of the drug,0.0,42.70211719217563,0,Not At Risk
Clonazepam Tablet,Current,Neurology,Accord Healthcare Inc.,2023,3,Requirements related to complying with good manufacturing practices,0.0,41.28592208981976,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Amneal Pharmaceuticals,2023,7,Shortage of an active ingredient,28.93722471738247,46.54114758848999,0,Not At Risk
Methotrexate Sodium Injection,Current,Rheumatology,"Teva Pharmaceuticals USA, Inc.",2023,3,Other,39.76933159990821,70.56132265738019,0,Not At Risk
Methylprednisolone Acetate Injection,Current,Rheumatology,Pfizer Inc.,2021,12,Unknown,28.42736562379941,24.59823104780737,0,Not At Risk
"Potassium Citrate Tablet, Extended Release",To Be Discontinued,Renal,Watson Pharma Private Limited,2025,7,Unknown,22.68703435223519,50.24411762016527,1,At Risk
"Rifapentine Tablet, Film Coated",Current,Anti-Infective,Sanofi-Aventis U.S. LLC,2020,3,Unknown,18.977926088214225,66.45434785521346,0,Not At Risk
Rocuronium Bromide Injection,Current,Anesthesia,Baxter Healthcare,2023,2,Unknown,0.0,56.0240717386766,0,Not At Risk
Sodium Bicarbonate Injection,Current,Endocrinology/Metabolism,"Hospira, Inc., a Pfizer Company",2017,3,Unknown,10.603115832105829,49.17079556517236,0,Not At Risk
Bupivacaine Hydrochloride Injection,Current,Anesthesia,Kindos Pharmaceuticals Co. Ltd.,2018,2,Unknown,15.78722458080425,67.02301403647711,0,Not At Risk
Dextrose Monohydrate 5% Injection,Current,Endocrinology/Metabolism,Baxter Healthcare,2022,2,Unknown,46.14244452437831,0.0,0,Not At Risk
Flurazepam Hydrochloride Capsule,Current,Neurology,Chartwell Molecular Holdings LLC,2022,8,Unknown,31.872365791369223,59.91325702967997,0,Not At Risk
Heparin Sodium Injection,Current,Hematology,"Fresenius Kabi USA, LLC",2017,11,Unknown,0.0,30.61033497119668,0,Not At Risk
Morphine Sulfate Injection,Current,Analgesia/Addiction,"Fresenius Kabi USA, LLC",2017,10,Other,31.481679387895905,4.72607626915795,0,Not At Risk
Epinephrine Injection,To Be Discontinued,Cardiovascular,"Hospira, Inc., a Pfizer Company",2025,11,Unknown,17.29835439167367,56.24645718954957,0,Not At Risk
"Fluvastatin Sodium Tablet, Extended Release",To Be Discontinued,Cardiovascular,Sandoz Inc.,2026,1,Unknown,11.461559993880826,75.22048799358507,1,At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Teva Pharmaceuticals USA, Inc.",2023,7,Other,37.23352577681736,41.97613267819078,0,Not At Risk
Metoprolol Tartrate Tablet,To Be Discontinued,Cardiovascular,Aurobindo Pharma USA,2025,6,Unknown,45.619990449919015,65.96324003846465,1,At Risk
Rocuronium Bromide Injection,Current,Anesthesia,Sandoz Inc.,2023,2,Unknown,43.625602382323976,80.47012167575019,0,Not At Risk
Clonazepam Tablet,Current,Neurology,Aurobindo Pharma USA,2023,3,Unknown,8.215649535547229,73.92811797884904,0,Not At Risk
Dextrose Monohydrate 5% Injection,Current,Endocrinology/Metabolism,Baxter Healthcare,2022,2,Demand increase for the drug,18.815752482975707,81.07921964617064,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,SpecGx LLC,2023,7,Shortage of an active ingredient,31.62526862807128,61.32680480358163,0,Not At Risk
Methotrexate Sodium Injection,Current,Rheumatology,"Hospira, Inc., a Pfizer Company",2023,3,Unknown,44.510902542447184,46.659540055835045,0,Not At Risk
Metoprolol Tartrate Tablet,To Be Discontinued,Cardiovascular,Aurobindo Pharma USA,2025,6,Unknown,15.4165152430942,9.756752138262293,1,At Risk
"Topiramate Capsule, Extended Release",To Be Discontinued,Neurology,"Upsher-Smith Laboratories, LLC",2025,4,Unknown,21.286820466723658,39.58662526114113,1,At Risk
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Current,Anesthesia,"Fresenius Kabi USA, LLC",2016,10,Unknown,2.873300519879436,26.44857490304378,0,Not At Risk
Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,"Fresenius Kabi USA, LLC",2017,10,Demand increase for the drug,1.075867518386584,92.76073978495192,0,Not At Risk
Meperidine Hydrochloride Injection,Current,Analgesia/Addiction,"Hospira, Inc., a Pfizer Company",2025,5,Other,41.25051644788396,41.1305121264886,0,Not At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,"Teva Pharmaceuticals USA, Inc.",2022,10,Other,52.12480057141646,47.71050574925869,0,Not At Risk
Quinapril Hydrochloride Tablet,To Be Discontinued,Cardiovascular,Pfizer Inc.,2025,10,Unknown,23.55979756839332,57.13267827289029,1,At Risk
Rifampin Capsule,Current,Anti-Infective,"Lupin Pharmaceuticals, Inc.",2021,12,Shortage of an active ingredient,45.07065795784048,45.95925382019398,0,Not At Risk
Dextrose Monohydrate 10% Injection,Current,Endocrinology/Metabolism,Otsuka ICU Medical LLC,2022,3,Unknown,32.23272050095268,82.29112288947657,0,Not At Risk
Docetaxel Injection,To Be Discontinued,Oncology,Ingenus Pharmaceuticals LLC,2026,2,Unknown,12.097604907897514,31.301714041842057,1,At Risk
Pemetrexed Disodium Injection,To Be Discontinued,Oncology,Sandoz Inc.,2025,10,Unknown,32.22791211016828,49.28136401521934,0,Not At Risk
Fentanyl Citrate Injection,Current,Analgesia/Addiction,"Hikma Pharmaceuticals USA, Inc.",2023,12,Other,55.76073132931938,28.665647114642937,1,At Risk
Furosemide Injection,Current,Cardiovascular,Accord Healthcare Inc.,2020,4,Requirements related to complying with good manufacturing practices,24.28347921780097,15.959504753144472,0,Not At Risk
Adalimumab-adaz Injection,To Be Discontinued,Rheumatology,Sandoz Inc.,2025,4,Unknown,56.29287311628012,31.54108000008372,0,Not At Risk
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2018,2,Other,0.0,44.18519046493493,0,Not At Risk
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Anesthesia,"Fresenius Kabi USA, LLC",2018,2,Unknown,41.43805008750448,35.55535106062028,0,Not At Risk
Etomidate Injection,Current,Anesthesia,"Hikma Pharmaceuticals USA, Inc.",2022,10,Unknown,26.740941364763422,29.766738442775168,0,Not At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,"Elite Laboratories, Inc.",2022,10,Shortage of an active ingredient,19.01985299068265,14.061015799219652,0,Not At Risk
Everolimus Tablet,To Be Discontinued,Transplant,"Endo Pharmaceuticals, Inc.",2026,1,Unknown,26.835215530710045,43.17167740216871,0,Not At Risk
Adalimumab-adaz Injection,To Be Discontinued,Rheumatology,Sandoz Inc.,2026,1,Unknown,0.0,11.896151771317951,1,At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,"Teva Pharmaceuticals USA, Inc.",2022,10,Unknown,20.60656224324976,61.72123120117126,0,Not At Risk
Drospirenone; Ethinyl Estradiol Tablet,To Be Discontinued,Reproductive,"Teva Pharmaceuticals USA, Inc.",2025,5,Unknown,32.14225143023493,46.81367456455907,1,At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Oryza Pharmaceuticals Inc.,2022,10,Unknown,54.55788089483032,12.933867011771524,0,Not At Risk
Memantine Hydrochloride Tablet,To Be Discontinued,Neurology,"Upsher-Smith Laboratories, LLC",2025,4,Unknown,14.634595634527052,38.197400304903006,0,Not At Risk
Rifampin Capsule,Current,Anti-Infective,"Epic Pharma, LLC",2021,12,Discontinuation of the manufacture of the drug,8.830127942136247,28.45255907700717,0,Not At Risk
Ropivacaine Hydrochloride Injection,Current,Anesthesia,"Fresenius Kabi USA, LLC",2018,3,Demand increase for the drug,14.96485912830927,52.02183922922197,1,At Risk
Dextrose Monohydrate 5% Injection,Current,Endocrinology/Metabolism,Otsuka ICU Medical LLC,2022,2,Unknown,43.30804235404148,74.48990981250918,0,Not At Risk
Fondaparinux Sodium Injection,To Be Discontinued,Hematology,"Jiangsu Hengrui Pharmaceuticals Co. (US Agent eVenus Pharmaceutical Laboratories, Inc.)",2025,9,Unknown,31.57502219319369,3.7462056677936175,1,At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Hikma Pharmaceuticals USA, Inc.",2023,7,Shortage of an active ingredient,14.404795924659224,47.53057374124317,0,Not At Risk
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Psychiatry,Janssen Pharmaceuticals,2023,7,Unknown,35.26534866226712,41.47707849753391,0,Not At Risk
Midazolam Hydrochloride Injection,Current,Anesthesia,WG Critical Care,2020,4,Unknown,26.94155098696081,59.76948168191024,0,Not At Risk
Rocuronium Bromide Injection,Current,Anesthesia,"Fresenius Kabi USA, LLC",2023,2,Delay in shipping of the drug,44.372899810657785,49.69032582122916,0,Not At Risk
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2012,2,Unknown,10.958938122452953,28.456674701745985,1,At Risk
Lidocaine Hydrochloride Injection,Current,Anesthesia,"Hikma Pharmaceuticals USA, Inc.",2018,6,Unknown,18.44675706804464,37.9808134153344,0,Not At Risk
Metoprolol Tartrate Tablet,To Be Discontinued,Cardiovascular,Aurobindo Pharma USA,2025,6,Unknown,17.157836937356848,27.487431150323243,1,At Risk
Morphine Sulfate Injection,Current,Analgesia/Addiction,"Hikma Pharmaceuticals USA, Inc.",2017,11,Unknown,0.0,68.67215704916916,0,Not At Risk
Naltrexone Hydrochloride Tablet,Resolved,Analgesia/Addiction,"Elite Laboratories, Inc.",2024,2,Unknown,30.92240554129152,45.46885627078273,0,Not At Risk
Heparin Sodium Injection,Current,Hematology,"Fresenius Kabi USA, LLC",2017,11,Unknown,30.221105443597786,86.82619508656617,0,Not At Risk
Irinotecan Hydrochloride Injection,To Be Discontinued,Oncology,Ingenus Pharmaceuticals LLC,2026,2,Unknown,25.10226913284922,43.66546209607834,1,At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Elite Laboratories, Inc.",2023,7,Shortage of an active ingredient,20.308257332497064,29.415051127969814,0,Not At Risk
Pindolol Tablet,To Be Discontinued,Cardiovascular,"Sun Pharmaceutical Industries, Inc.",2026,1,Unknown,0.0,11.698283362517806,1,At Risk
Rocuronium Bromide Injection,Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2023,2,Unknown,16.58709354469282,5.330927122369211,0,Not At Risk
Amino Acid Injection,Current,Gastroenterology,Baxter Healthcare,2020,12,Unknown,18.14570966946461,10.149009253879228,0,Not At Risk
Dextrose Monohydrate 10% Injection,Current,Endocrinology/Metabolism,B. Braun Medical Inc.,2022,3,Unknown,8.95445461556762,50.87678632225264,0,Not At Risk
Furosemide Injection,Current,Cardiovascular,"Avet Pharmaceuticals, Inc.",2020,4,Unknown,21.774285766679817,56.19195051105854,0,Not At Risk
Ketorolac Tromethamine Injection,Current,Analgesia/Addiction,"Fresenius Kabi USA, LLC",2018,3,Other,33.08101713629077,10.213804555293066,0,Not At Risk
Etomidate Injection,Current,Anesthesia,"Hikma Pharmaceuticals USA, Inc.",2022,10,Unknown,62.723718024210605,64.69084290967454,0,Not At Risk
Hydroxocobalamin Injection,Current,Other,"Teva Pharmaceuticals USA, Inc.",2024,11,Other,28.49155625663678,34.372656862964334,0,Not At Risk
Midazolam Hydrochloride Injection,Current,Anesthesia,"Fresenius Kabi USA, LLC",2020,4,Demand increase for the drug,30.151007814455287,48.229446263682085,0,Not At Risk
Promethazine Hydrochloride Injection,Current,Analgesia/Addiction,"Hikma Pharmaceuticals USA, Inc.",2023,11,Unknown,23.51108168467665,80.46885382161933,0,Not At Risk
Flurazepam Hydrochloride Capsule,Current,Neurology,"Rising Pharma Holdings, Inc.",2022,8,Regulatory delay,0.0,64.7304649490417,1,At Risk
Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,"Fresenius Kabi USA, LLC",2017,10,Other,24.469722491015663,39.09232574607169,0,Not At Risk
Lorazepam Injection,Current,Neurology,"Hikma Pharmaceuticals USA, Inc.",2018,9,Other,26.20460419882053,25.39377104086368,0,Not At Risk
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Psychiatry,"Trigen Laboratories, LLC",2023,7,Demand increase for the drug,74.26484224970572,0.0,0,Not At Risk
Bumetanide Injection,Current,Cardiovascular,"Hikma Pharmaceuticals USA, Inc.",2018,1,Unknown,21.152780704377548,29.17862697666676,0,Not At Risk
Dopamine Hydrochloride Injection,Current,Cardiovascular,Baxter Healthcare,2017,11,Unknown,31.03094684667225,40.35513474579072,0,Not At Risk
Everolimus Tablet,To Be Discontinued,Transplant,"Endo Pharmaceuticals, Inc.",2026,1,Unknown,24.30576460589513,23.282050402673956,1,At Risk
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Psychiatry,"Vertical Pharmaceuticals, LLC",2023,7,Other,1.6264392476093583,42.112346723969296,0,Not At Risk
Sodium Bicarbonate Injection,Current,Endocrinology/Metabolism,"Fresenius Kabi USA, LLC",2017,7,Other,47.856456290300414,46.6907414250929,0,Not At Risk
Somatropin Injection,To Be Discontinued,Endocrinology/Metabolism,"Novo Nordisk, Inc.",2025,11,Unknown,40.03866065373549,40.05316840022227,1,At Risk
Caspofungin Acetate Injection,To Be Discontinued,Anti-Infective,"Fresenius Kabi USA, LLC",2026,1,Unknown,40.82063894086094,30.699943221883885,1,At Risk
Celecoxib Capsule,To Be Discontinued,Analgesia/Addiction,"Teva Pharmaceuticals USA, Inc.",2025,8,Unknown,6.81225090410522,48.71040278326801,1,At Risk
Amino Acid Injection,Current,Gastroenterology,Baxter Healthcare,2020,12,Unknown,53.05588621872198,54.722694290527,0,Not At Risk
"Fluvastatin Sodium Tablet, Extended Release",To Be Discontinued,Cardiovascular,Sandoz Inc.,2026,1,Unknown,0.0,21.011220296257388,1,At Risk
Ketorolac Tromethamine Injection,Current,Analgesia/Addiction,Gland Pharma Limited,2018,6,Unknown,36.73714187600541,76.04051235441794,0,Not At Risk
Ropivacaine Hydrochloride Injection,Current,Anesthesia,"Fresenius Kabi USA, LLC",2018,3,Unknown,68.80911251619958,42.83106108974624,1,At Risk
Metoprolol Tartrate Tablet,To Be Discontinued,Cardiovascular,Aurobindo Pharma USA,2025,6,Unknown,5.189273497386232,45.41469170478665,1,At Risk
Pravastatin Sodium Tablet,To Be Discontinued,Cardiovascular,"Teva Pharmaceuticals USA, Inc.",2025,6,Unknown,13.67404540794456,60.58071731164426,1,At Risk
Irinotecan Hydrochloride Injection,To Be Discontinued,Oncology,"Teva Pharmaceuticals USA, Inc.",2025,8,Unknown,26.993027301752825,50.13075488779704,1,At Risk
Hydrochlorothiazide; Quinapril Hydrochloride Tablet,To Be Discontinued,Cardiovascular,Pfizer Inc.,2025,10,Unknown,14.930486917676015,65.96900594609139,1,At Risk
Eszopiclone Tablet,To Be Discontinued,Neurology,"Teva Pharmaceuticals USA, Inc.",2025,6,Unknown,0.0,51.31673163444013,1,At Risk
Acetaminophen; Oxycodone Hydrochloride Tablet,To Be Discontinued,Analgesia/Addiction,"Endo Pharmaceuticals, Inc.",2025,11,Unknown,26.371259496120548,31.526377757910367,0,Not At Risk
Dextrose Monohydrate 5% Injection,Current,Endocrinology/Metabolism,"Fresenius Kabi USA, LLC",2022,2,Unknown,3.7539257254779024,52.95307755453423,1,At Risk
Insulin Aspart Injection,To Be Discontinued,Endocrinology/Metabolism,"Novo Nordisk, Inc.",2025,7,Unknown,34.47184861270363,19.83802343894544,1,At Risk
Lasmiditan Succinate Tablet,To Be Discontinued,Neurology,Eli Lilly and Co.,2025,11,Unknown,6.611515315323938,47.38831352708351,1,At Risk
Pilocarpine Hydrochloride Ophthalmic Solution,To Be Discontinued,Ophthalmology,AbbVie Inc.,2026,3,Unknown,55.99868810035079,44.26894020582186,1,At Risk
Desipramine Hydrochloride Tablet,To Be Discontinued,Psychiatry,"Avet Pharmaceuticals, Inc.",2025,8,Unknown,9.334934153275258,40.42142914000413,1,At Risk
Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,"Hospira, Inc., a Pfizer Company",2017,10,Unknown,18.558769675886488,42.17217474834352,0,Not At Risk
Insulin Aspart Injection,To Be Discontinued,Endocrinology/Metabolism,"Novo Nordisk, Inc.",2025,7,Unknown,41.27034434739339,3.5993209990519404,1,At Risk
Methylprednisolone Acetate Injection,Current,Rheumatology,Pfizer Inc.,2021,12,Unknown,0.3827136713208965,32.92805202969885,1,At Risk
Sodium Acetate Injection,Current,Endocrinology/Metabolism,"Hospira, Inc., a Pfizer Company",2016,2,Unknown,29.549198692082587,47.042587825104526,0,Not At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Granules Pharmaceuticals Inc.,2022,10,Unknown,51.14285508564856,48.516840623942805,0,Not At Risk
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2018,2,Other,0.0,22.39114689962892,0,Not At Risk
Clonazepam Tablet,Current,Neurology,Rubicon Research Private Limited,2023,3,Unknown,28.692677170646085,72.84557249902342,0,Not At Risk
Dexamethasone Sodium Phosphate Injection,Current,Dermatology,Eugia US LLC,2019,2,Unknown,30.19765588496847,25.94415333928098,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,SpecGx LLC,2023,7,Delay in shipping of the drug,40.636457435546205,66.32805841158822,0,Not At Risk
Midazolam Hydrochloride Injection,Current,Anesthesia,WG Critical Care,2020,4,Unknown,0.260985782438361,54.39827596117706,0,Not At Risk
Morphine Sulfate Tablet,To Be Discontinued,Analgesia/Addiction,"Upsher-Smith Laboratories, LLC",2025,12,Unknown,0.0,30.78299918343633,1,At Risk
Clonazepam Tablet,Current,Neurology,"Teva Pharmaceuticals USA, Inc.",2023,3,Unknown,35.43883131233795,84.05683963740927,1,At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Amneal Pharmaceuticals,2023,7,Shortage of an active ingredient,30.93969346466372,18.73998970135744,0,Not At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,"Elite Laboratories, Inc.",2022,10,Shortage of an active ingredient,30.00985700691753,65.22139181942003,0,Not At Risk
Sodium Chloride 0.9% Injection,To Be Discontinued,Gastroenterology,Fresenius Medical Care North America,2025,6,Unknown,31.928964189939517,67.01281099694552,1,At Risk
Vancomycin Hydrochloride Injection,To Be Discontinued,Anti-Infective,"Hospira, Inc., a Pfizer Company",2025,9,Unknown,11.399505568430184,30.246355400313814,1,At Risk
Clonazepam Tablet,Current,Neurology,Rubicon Research Private Limited,2023,3,Unknown,29.64507394322007,75.63423660141524,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Alvogen,2023,7,Unknown,30.861449465973624,39.49897667882304,0,Not At Risk
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Psychiatry,"Vertical Pharmaceuticals, LLC",2023,7,Unknown,10.712971639472643,51.35125984415686,0,Not At Risk
Sterile Water Irrigant,Current,Gastroenterology,Baxter Healthcare,2023,4,Other,62.31549022289513,50.72708045296686,0,Not At Risk
Azacitidine Injection,Current,Oncology,Accord Healthcare Inc.,2020,12,Unknown,34.47665841823575,42.045207687647945,0,Not At Risk
Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,To Be Discontinued,Cardiovascular,Torrent Pharma Inc.,2025,6,Unknown,1.1739300559470287,62.83778200951521,1,At Risk
Furosemide Injection,Current,Cardiovascular,Gland Pharma Limited,2020,4,Other,38.1310721726766,62.456751852148685,0,Not At Risk
Levothyroxine Sodium Tablet,To Be Discontinued,Endocrinology/Metabolism,"EMD Serono, Inc.",2025,7,Unknown,5.506366595453571,6.532296588760026,1,At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Apotex Corp.,2023,11,Unknown,40.74169207484904,73.69548534331935,0,Not At Risk
Sterile Water Irrigant,Current,Gastroenterology,Otsuka ICU Medical LLC,2023,4,Other,48.17191158014808,8.425176263215164,0,Not At Risk
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Psychiatry,"Trigen Laboratories, LLC",2023,7,Demand increase for the drug,8.586353632965789,67.71601649551647,0,Not At Risk
Voriconazole Injection,To Be Discontinued,Antiviral,Pfizer Inc.,2025,10,Unknown,44.26752258488644,69.78751301020684,1,At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Aurobindo Pharma USA,2022,10,Shortage of an active ingredient,33.25561853872996,20.99873853526564,0,Not At Risk
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Psychiatry,"Sun Pharmaceutical Industries, Inc.",2023,7,Discontinuation of the manufacture of the drug,41.4412031998898,35.96208566499914,0,Not At Risk
Midazolam Hydrochloride Injection,Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2020,4,Unknown,62.93585965307895,20.67449729330941,0,Not At Risk
